qid,domain,model,setting,em_majority,f1_median,latency_median_ms,refusal_any,invalid_any,stability_mad_f1
POL008,politics,gpt4o,para_dist,1,1.0,848.0,0,0,0.0
POL009,politics,gpt4o,dist,1,1.0,1137.0,0,0,0.0
POL009,politics,gpt4o,gold,1,1.0,684.0,0,0,0.0
POL009,politics,gpt4o,para,1,1.0,658.0,0,0,0.0
POL009,politics,gpt4o,para_dist,1,1.0,614.0,0,0,0.0
POL010,politics,gpt4o,dist,1,1.0,826.0,0,0,0.0
POL010,politics,gpt4o,gold,1,1.0,845.0,0,0,0.0
POL010,politics,gpt4o,para,1,1.0,579.0,0,0,0.0
POL010,politics,gpt4o,para_dist,1,1.0,712.0,0,0,0.0
SCI001,science,gpt4o,dist,1,1.0,786.0,0,0,0.0
SCI001,science,gpt4o,gold,1,1.0,886.0,0,0,0.0
SCI001,science,gpt4o,para,1,1.0,645.0,0,0,0.0
SCI001,science,gpt4o,para_dist,1,1.0,772.0,0,0,0.0
SCI002,science,gpt4o,dist,1,1.0,596.0,0,0,0.0
SCI002,science,gpt4o,gold,1,1.0,653.0,0,0,0.0
SCI002,science,gpt4o,para,1,1.0,681.0,0,0,0.0
SCI002,science,gpt4o,para_dist,1,1.0,710.0,0,0,0.0
SCI003,science,gpt4o,dist,0,0.8,895.0,0,0,0.0
SCI003,science,gpt4o,gold,0,0.8,802.0,0,0,0.0
SCI003,science,gpt4o,para,0,0.8,715.0,0,0,0.0
SCI003,science,gpt4o,para_dist,0,0.8,718.0,0,0,0.0
SCI004,science,gpt4o,dist,1,1.0,812.0,0,0,0.0
SCI004,science,gpt4o,gold,1,1.0,723.0,0,0,0.0
SCI004,science,gpt4o,para,1,1.0,562.0,0,0,0.0
SCI004,science,gpt4o,para_dist,1,1.0,818.0,0,0,0.0
SCI005,science,gpt4o,dist,1,1.0,790.0,0,0,0.0
SCI005,science,gpt4o,gold,1,1.0,980.0,0,0,0.0
SCI005,science,gpt4o,para,1,1.0,947.0,0,0,0.0
SCI005,science,gpt4o,para_dist,1,1.0,718.0,0,0,0.0
SCI006,science,gpt4o,dist,1,1.0,794.0,0,0,0.0
SCI006,science,gpt4o,gold,1,1.0,716.0,0,0,0.0
SCI006,science,gpt4o,para,1,1.0,640.0,0,0,0.0
SCI006,science,gpt4o,para_dist,1,1.0,1083.0,0,0,0.0
SCI007,science,gpt4o,dist,1,1.0,606.0,0,0,0.0
SCI007,science,gpt4o,gold,1,1.0,548.0,0,0,0.0
SCI007,science,gpt4o,para,1,1.0,604.0,0,0,0.0
SCI007,science,gpt4o,para_dist,1,1.0,650.0,0,0,0.0
SCI008,science,gpt4o,dist,1,1.0,947.0,0,0,0.0
SCI008,science,gpt4o,gold,1,1.0,605.0,0,0,0.0
SCI008,science,gpt4o,para,1,1.0,525.0,0,0,0.0
SCI008,science,gpt4o,para_dist,1,1.0,763.0,0,0,0.0
SCI009,science,gpt4o,dist,1,1.0,954.0,0,0,0.0
SCI009,science,gpt4o,gold,1,1.0,832.0,0,0,0.0
SCI009,science,gpt4o,para,1,1.0,595.0,0,0,0.0
SCI009,science,gpt4o,para_dist,1,1.0,966.0,0,0,0.0
SCI010,science,gpt4o,dist,0,0.6666666666666666,712.0,0,0,0.0
SCI010,science,gpt4o,gold,0,0.6666666666666666,901.0,0,0,0.0
SCI010,science,gpt4o,para,0,0.6666666666666666,799.0,0,0,0.0
SCI010,science,gpt4o,para_dist,0,0.6666666666666666,1074.0,0,0,0.0
